model,accuracy,attack_precision,attack_recall,attack_f1,normal_recall,macro_f1,false_positive_rate,inference_time_s,selected_threshold_percentile,selected_threshold_value
Isolation Forest tuned,0.5117225343925595,0.6459512447749047,0.3821759208596879,0.4802266101974589,0.6983041230614047,0.5099230632162848,0.3016958769385954,,,
Autoencoder tuned,0.9476328876832656,0.9342344033539828,0.9802805804206518,0.9567037614541726,0.9006115243979321,0.9452288007872208,0.0993884756020678,0.0178883000044152,,
Hybrid secondary,0.8172705548020409,0.7769875138296191,0.9683307434724564,0.8621704308513748,0.5997036943638885,0.795576747343842,0.4002963056361114,,,
PyOD-HBOS-bins10,0.975934896337919,0.9793088363954505,0.9799304020485434,0.9796195206266204,0.9701803051317615,0.9751217330659553,0.029819694868238558,,97.0,154.06213954712368
PyOD-ECOD,0.2472905767616095,0.12776659959758552,0.04725219408636274,0.0689897585837767,0.535399066952465,0.21863208508974397,0.46460093304753497,,50.0,55.06094066875298
PyOD-COPOD,0.18500290641348577,0.06183905730687884,0.026876190059311463,0.037468153595020516,0.41274744672802927,0.1653946204742164,0.5872525532719708,,50.0,40.73421757050148
